# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    2.28e+01  2.21e+01    3.81e+00  3.81e+00    6.86e-01  6.60e-01    1.0e-03
    100    2.01e+01  1.94e+01    9.75e-01  9.74e-01    6.32e-01  6.11e-01    1.0e-03
    200    2.23e+01  2.29e+01    1.72e-01  1.69e-01    7.06e-01  7.24e-01    1.0e-03
    300    2.20e+01  2.16e+01    1.01e-02  1.11e-02    6.96e-01  6.82e-01    1.0e-03
    400    2.07e+01  2.17e+01    1.66e-01  1.74e-01    6.53e-01  6.88e-01    1.0e-03
    500    2.13e+01  2.24e+01    9.35e-03  1.15e-02    6.73e-01  7.09e-01    1.0e-03
    600    1.92e+01  1.84e+01    2.65e-02  2.98e-02    6.07e-01  5.81e-01    1.0e-03
    700    2.15e+01  2.21e+01    2.30e-02  2.46e-02    6.81e-01  6.98e-01    1.0e-03
    800    2.07e+01  2.05e+01    8.43e-02  7.90e-02    6.54e-01  6.49e-01    1.0e-03
    900    2.05e+01  2.02e+01    4.55e-02  4.97e-02    6.47e-01  6.37e-01    1.0e-03
   1000    1.84e+01  1.94e+01    3.62e-01  3.26e-01    5.80e-01  6.14e-01    1.0e-03
   1100    1.76e+01  1.75e+01    3.40e-01  3.96e-01    5.55e-01  5.53e-01    1.0e-03
   1200    1.64e+01  1.43e+01    1.85e-01  2.01e-01    5.18e-01  4.52e-01    1.0e-03
   1300    1.45e+01  1.39e+01    1.66e-01  1.29e-01    4.58e-01  4.40e-01    1.0e-03
   1400    1.08e+01  1.05e+01    6.36e-01  6.26e-01    3.41e-01  3.31e-01    1.0e-03
   1500    1.04e+01  9.91e+00    2.45e-01  2.19e-01    3.29e-01  3.13e-01    1.0e-03
   1600    3.26e+01  3.23e+01    3.79e-02  1.50e-02    1.03e+00  1.02e+00    1.0e-03
   1700    1.25e+01  1.20e+01    7.64e-02  1.09e-01    3.94e-01  3.79e-01    1.0e-03
   1800    1.33e+01  1.12e+01    2.95e-02  2.46e-02    4.21e-01  3.54e-01    1.0e-03
   1900    1.27e+01  1.11e+01    7.97e-02  8.28e-02    4.02e-01  3.52e-01    1.0e-03
   2000    1.34e+01  1.42e+01    5.06e-02  4.97e-02    4.22e-01  4.49e-01    1.0e-03
   2100    9.90e+00  1.08e+01    7.72e-02  7.22e-02    3.13e-01  3.40e-01    1.0e-03
   2200    1.43e+01  1.20e+01    8.19e-02  6.89e-02    4.54e-01  3.78e-01    1.0e-03
   2300    1.38e+01  1.32e+01    6.06e-02  5.89e-02    4.36e-01  4.18e-01    1.0e-03
   2400    1.33e+01  1.24e+01    1.34e-01  1.13e-01    4.20e-01  3.93e-01    1.0e-03
   2500    1.28e+01  1.26e+01    4.24e-02  6.57e-03    4.05e-01  3.99e-01    1.0e-03
   2600    1.40e+01  1.34e+01    5.31e-02  4.69e-02    4.44e-01  4.23e-01    1.0e-03
   2700    1.28e+01  1.22e+01    4.54e-02  3.60e-03    4.05e-01  3.87e-01    1.0e-03
   2800    1.47e+01  1.56e+01    6.35e-02  1.32e-01    4.65e-01  4.93e-01    1.0e-03
   2900    2.00e+01  2.54e+01    3.14e-01  2.91e-01    6.33e-01  8.04e-01    1.0e-03
   3000    7.49e+00  7.55e+00    6.94e-02  6.09e-02    2.37e-01  2.39e-01    1.0e-03
   3100    1.39e+01  1.35e+01    1.22e-01  1.03e-01    4.39e-01  4.26e-01    1.0e-03
   3200    1.11e+01  1.19e+01    9.45e-02  8.37e-02    3.52e-01  3.75e-01    1.0e-03
   3300    1.09e+01  1.08e+01    5.53e-02  5.68e-02    3.45e-01  3.40e-01    1.0e-03
   3400    1.04e+01  9.67e+00    9.15e-02  9.24e-02    3.30e-01  3.06e-01    1.0e-03
   3500    1.20e+01  1.18e+01    2.88e-02  4.87e-02    3.80e-01  3.72e-01    1.0e-03
   3600    7.36e+00  7.61e+00    2.39e-01  3.04e-01    2.32e-01  2.40e-01    1.0e-03
   3700    1.38e+01  1.29e+01    1.03e-01  1.02e-01    4.35e-01  4.09e-01    1.0e-03
   3800    1.40e+01  1.50e+01    2.34e-01  2.97e-01    4.42e-01  4.74e-01    1.0e-03
   3900    1.04e+01  9.91e+00    5.64e-02  5.57e-02    3.30e-01  3.13e-01    1.0e-03
   4000    6.86e+00  7.29e+00    4.66e-02  8.61e-03    2.17e-01  2.31e-01    1.0e-03
   4100    1.28e+01  1.29e+01    1.25e-01  1.60e-01    4.06e-01  4.06e-01    1.0e-03
   4200    1.13e+01  1.12e+01    6.72e-02  8.12e-02    3.56e-01  3.53e-01    1.0e-03
   4300    1.02e+01  1.01e+01    7.98e-02  7.65e-02    3.23e-01  3.19e-01    1.0e-03
   4400    1.20e+01  1.05e+01    4.25e-02  4.73e-02    3.81e-01  3.34e-01    1.0e-03
   4500    1.14e+01  1.10e+01    3.95e-02  1.16e-02    3.59e-01  3.49e-01    1.0e-03
   4600    1.77e+01  1.80e+01    1.43e-01  1.66e-01    5.58e-01  5.69e-01    1.0e-03
   4700    1.38e+01  1.44e+01    1.50e-01  1.14e-01    4.35e-01  4.55e-01    1.0e-03
   4800    1.18e+01  1.17e+01    8.66e-02  8.50e-02    3.73e-01  3.71e-01    1.0e-03
   4900    1.17e+01  1.14e+01    3.58e-02  3.77e-02    3.71e-01  3.61e-01    1.0e-03
   5000    7.31e+00  7.17e+00    4.60e-01  5.30e-01    2.29e-01  2.24e-01    1.0e-03
   5100    1.09e+01  9.92e+00    4.16e-02  4.42e-02    3.44e-01  3.14e-01    1.0e-03
   5200    1.75e+01  1.53e+01    4.57e-01  3.57e-01    5.54e-01  4.85e-01    1.0e-03
   5300    1.21e+01  1.20e+01    6.14e-02  5.74e-02    3.84e-01  3.80e-01    1.0e-03
   5400    2.54e+01  2.70e+01    8.12e-02  8.09e-02    8.02e-01  8.54e-01    1.0e-03
   5500    1.18e+01  1.06e+01    4.66e-02  8.78e-03    3.74e-01  3.35e-01    1.0e-03
   5600    6.58e+00  5.98e+00    3.43e-01  4.01e-01    2.08e-01  1.88e-01    1.0e-03
   5700    1.36e+01  1.34e+01    4.23e-02  4.00e-02    4.31e-01  4.24e-01    1.0e-03
   5800    1.21e+01  1.17e+01    7.18e-02  7.53e-02    3.82e-01  3.70e-01    1.0e-03
   5900    9.87e+00  8.50e+00    1.26e-02  3.74e-02    3.12e-01  2.69e-01    1.0e-03
   6000    1.12e+01  1.10e+01    3.84e-02  1.75e-02    3.53e-01  3.48e-01    1.0e-03
   6100    1.10e+01  1.11e+01    2.85e-02  1.73e-02    3.48e-01  3.50e-01    1.0e-03
   6200    9.54e+00  9.53e+00    2.05e-02  2.31e-02    3.02e-01  3.01e-01    1.0e-03
   6300    9.84e+00  9.07e+00    2.53e-02  1.84e-02    3.11e-01  2.87e-01    1.0e-03
   6400    1.07e+01  1.02e+01    5.22e-02  5.44e-02    3.38e-01  3.23e-01    1.0e-03
   6500    6.01e+00  6.11e+00    7.34e-02  5.07e-02    1.90e-01  1.93e-01    1.0e-03
   6600    9.63e+00  9.69e+00    7.58e-02  5.20e-02    3.04e-01  3.07e-01    1.0e-03
   6700    1.09e+01  1.02e+01    7.41e-02  6.32e-02    3.44e-01  3.22e-01    1.0e-03
   6800    5.71e+00  5.42e+00    4.83e-02  4.07e-02    1.80e-01  1.71e-01    1.0e-03
   6900    1.14e+01  1.14e+01    6.65e-02  3.50e-02    3.60e-01  3.60e-01    1.0e-03
